SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,AvgCharges,Churn
0,1,0,0,1,0,0,2,0,0,0,0,0,1,2,29.85,0
0,0,0,1,0,0,2,0,2,0,0,0,1,0,3,55.5735294117647,0
0,0,0,1,0,0,2,2,0,0,0,0,0,1,3,54.075,1
0,0,0,0,1,0,2,0,2,2,0,0,1,0,0,40.90555555555556,0
0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,75.825,1
0,0,0,1,2,1,0,0,2,0,2,2,0,1,2,102.5625,1
0,0,1,1,2,1,0,2,0,0,2,0,0,1,1,88.60909090909091,0
0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,30.189999999999998,0
0,1,0,1,2,1,0,0,2,2,2,2,0,1,2,108.78750000000001,1
0,0,1,1,0,0,2,2,0,0,0,0,1,0,0,56.25725806451613,0
0,1,1,1,0,0,2,0,0,0,0,0,0,1,3,45.18846153846154,0
0,0,0,1,0,2,1,1,1,1,1,1,2,0,1,20.425,0
0,1,0,1,2,1,0,0,2,0,2,2,1,0,1,97.95,0
0,0,0,1,2,1,0,2,2,0,2,2,0,1,0,102.78163265306122,1
0,0,0,1,0,1,2,0,2,2,2,2,0,1,2,107.44200000000001,0
0,1,1,1,2,1,2,2,2,2,2,2,2,0,1,114.42246376811593,0
0,0,0,1,0,2,1,1,1,1,1,1,1,0,3,19.672115384615385,0
0,0,1,1,2,1,2,0,2,0,2,2,2,0,0,103.97535211267606,0
0,1,1,1,0,0,0,0,2,2,0,0,0,0,1,52.835,1
0,0,0,1,0,1,0,2,2,0,0,2,0,1,2,88.70952380952382,0
1,0,0,0,1,0,0,0,2,0,0,2,0,1,2,39.65,1
0,1,0,1,0,2,1,1,1,1,1,1,1,0,0,16.854166666666668,0
0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,20.15,1
0,1,0,1,2,0,0,2,0,2,0,0,2,1,1,60.432758620689654,0
0,1,1,1,0,0,2,2,0,2,0,0,0,0,1,60.61836734693878,0
0,0,0,1,0,0,2,2,0,0,0,0,0,1,0,51.019999999999996,0
0,1,1,1,2,1,0,2,0,0,2,2,0,1,2,101.04574468085106,1
0,1,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,1
0,1,0,1,2,0,2,2,2,2,2,2,2,1,1,88.46458333333334,0
0,0,1,1,0,0,0,0,0,0,2,2,0,1,3,64.3,1
1,1,0,1,2,1,2,2,2,2,0,0,2,1,1,95.30915492957746,0
1,1,0,1,0,1,0,0,2,0,2,2,0,1,1,90.825,0
0,1,1,1,0,0,2,2,2,2,0,0,1,0,3,69.42407407407407,0
0,0,0,1,0,2,1,1,1,1,1,1,0,0,0,20.2,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45.25,0
0,1,1,1,2,1,2,2,0,2,2,0,2,0,0,100.71805555555555,0
0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,63.379999999999995,1
0,0,0,1,0,1,0,0,2,0,0,0,0,1,1,77.13695652173914,0
0,0,0,1,2,1,0,2,2,0,2,2,0,1,2,104.38970588235294,1
0,0,0,1,2,1,0,0,2,0,2,2,0,1,0,100.4909090909091,1
